,RTZ_name,2018_s1_emissions,2018_source_url,2019_s1_emissions,2019_source_url,2020_s1_emissions,2020_source_url,2021_s1_emissions,2021_source_url,Name RtZ,Data found,Latest emissions,Latest emissions year,Source URL,Scopes,Unit,Name clean,Country ref,Name clean Global RtZ,Country RtZ,Type RtZ,Match percentage,Match status,Match status v2
1,A. P. Møller-Mærsk A/S,0,,36204000,https://www.maersk.com/~/media_sc9/maersk/corporate/sustainability/files/resources/2021/maersk-sustainability-report_2021.pdf,33902000,https://www.maersk.com/~/media_sc9/maersk/corporate/sustainability/files/resources/2021/maersk-sustainability-report_2021.pdf,36863000,https://www.maersk.com/~/media_sc9/maersk/corporate/sustainability/files/resources/2021/maersk-sustainability-report_2021.pdf,A. P. Møller-Mærsk A/S,Emissions data found,36863000,2021,https://www.maersk.com/~/media_sc9/maersk/corporate/sustainability/files/resources/2021/maersk-sustainability-report_2021.pdf,Scope 1,tCO₂e,møller-mærsk,Global,møller-mærsk,Denmark,Company,100,Fully matched,Yes
2,AAK AB,0,,0,,0,,269380,https://www.aak.com/reports/sustainability_report_2021/mobile/index.html,AAK AB,Emissions data found,269380,2021,https://www.aak.com/reports/sustainability_report_2021/mobile/index.html,Scope 1,tCO₂e,aak,Global,aak,Sweden,Company,100,Fully matched,Yes
3,AB Electrolux,164000,https://www.electroluxgroup.com/sustainabilityreports/2021/files/downloads/Electrolux_Sustainability_Report_2021.pdf,140000,https://www.electroluxgroup.com/sustainabilityreports/2021/files/downloads/Electrolux_Sustainability_Report_2021.pdf,77000,https://www.electroluxgroup.com/sustainabilityreports/2021/files/downloads/Electrolux_Sustainability_Report_2021.pdf,83000,https://www.electroluxgroup.com/sustainabilityreports/2021/files/downloads/Electrolux_Sustainability_Report_2021.pdf,Electrolux,Emissions data found,83000,2021,https://www.electroluxgroup.com/sustainabilityreports/2021/files/downloads/Electrolux_Sustainability_Report_2021.pdf,Scope 1,tCO₂e,electrolux,Global,electrolux,Sweden,Company,100,Fully matched,Yes
4,AB SKF,62255,https://investors.skf.com/sites/default/files/pr/202103032688-1.pdf,58606,https://investors.skf.com/sites/default/files/pr/202103032688-1.pdf,50285,https://investors.skf.com/sites/default/files/pr/202103032688-1.pdf,0,,AB SKF,Emissions data found,50285,2020,https://investors.skf.com/sites/default/files/pr/202103032688-1.pdf,Scope 1,tCO₂e,skf,Global,skf,Sweden,Company,100,Fully matched,Yes
5,AB Volvo,0,,245000,https://www.volvogroup.com/content/dam/volvo-group/markets/master/investors/reports-and-presentations/annual-reports/annual-and-sustainability-report-2021.pdf,205000,https://www.volvogroup.com/content/dam/volvo-group/markets/master/investors/reports-and-presentations/annual-reports/annual-and-sustainability-report-2021.pdf,245000,https://www.volvogroup.com/content/dam/volvo-group/markets/master/investors/reports-and-presentations/annual-reports/annual-and-sustainability-report-2021.pdf,AB Volvo,Emissions data found,245000,2021,https://www.volvogroup.com/content/dam/volvo-group/markets/master/investors/reports-and-presentations/annual-reports/annual-and-sustainability-report-2021.pdf,Scope 1,tCO₂e,volvo,Global,volvo,Sweden,Company,100,Fully matched,Yes
6,ABB,0,,396000,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108466A8054&LanguageCode=en&DocumentPartId=&Action=Launch&_ga=2.64225007.1333855981.1664005744-864570225.1664005744,226000,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108466A8054&LanguageCode=en&DocumentPartId=&Action=Launch&_ga=2.64225007.1333855981.1664005744-864570225.1664005744,190000,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108466A8054&LanguageCode=en&DocumentPartId=&Action=Launch&_ga=2.64225007.1333855981.1664005744-864570225.1664005744,ABB,Emissions data found,190000,2021,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108466A8054&LanguageCode=en&DocumentPartId=&Action=Launch&_ga=2.64225007.1333855981.1664005744-864570225.1664005744,Scope 1,tCO₂e,abb,Global,abb,Switzerland,Company,100,Fully matched,Yes
7,AbbVie,0,,0,,0,,367954,https://www.abbvie.com/content/dam/abbvie-dotcom/uploads/PDFs/societal-impact/abbvie-esg-action-report.pdf,AbbVie,Emissions data found,367954,2021,https://www.abbvie.com/content/dam/abbvie-dotcom/uploads/PDFs/societal-impact/abbvie-esg-action-report.pdf,Scope 1,tCO₂e,abbvie,Global,abbvie,United States of America,Company,100,Fully matched,Yes
8,Accenture PLC,0,,18923,https://www.accenture.com/content/dam/accenture/final/a-com-migration/pdf/pdf-168/accenture-united-nations-global-compact-communication-on-progress-2021.pdf#zoom=40,13945,https://www.accenture.com/content/dam/accenture/final/a-com-migration/pdf/pdf-168/accenture-united-nations-global-compact-communication-on-progress-2021.pdf#zoom=40,9250,https://www.accenture.com/content/dam/accenture/final/a-com-migration/pdf/pdf-168/accenture-united-nations-global-compact-communication-on-progress-2021.pdf#zoom=40,Accenture PLC,Emissions data found,9250,2021,https://www.accenture.com/content/dam/accenture/final/a-com-migration/pdf/pdf-168/accenture-united-nations-global-compact-communication-on-progress-2021.pdf#zoom=40,Scope 1,tCO₂e,accenture,Global,accenture,Ireland,Company,100,Fully matched,Yes
9,Accor S.A.,0,,468000,https://group.accor.com/-/media/Corporate/Investors/Documents-de-reference/OPT_ACCOR_DEU_2021_MEL_US_300322.pdf,428000,https://group.accor.com/-/media/Corporate/Investors/Documents-de-reference/OPT_ACCOR_DEU_2021_MEL_US_300322.pdf,450000,https://group.accor.com/-/media/Corporate/Investors/Documents-de-reference/OPT_ACCOR_DEU_2021_MEL_US_300322.pdf,Accor S.A.,Emissions data found,450000,2021,https://group.accor.com/-/media/Corporate/Investors/Documents-de-reference/OPT_ACCOR_DEU_2021_MEL_US_300322.pdf,Scope 1,tCO₂e,accor,Global,accor,France,Company,100,Fully matched,Yes
10,Adidas AG,0,,0,,0,,0,,Adidas AG,Other details found,,,,Scope 1,tCO₂e,adidas,Global,adidas,Germany,Company,100,Fully matched,Yes
