name,country,actor_type,race_to_zero_member,scope_1,scope_2,scope_3,historical_emissions,gdp_real,annual_revenue,population,industry,sector,employees,Name clean,Name clean Global RtZ,Country RtZ,Type RtZ,Match percentage,Match status,Match status v2,Name RtZ,Data found,ghg,inventory_year,source_url,Scopes,Unit,name copy
New South Wales,AUS,Region,No,,,,No,,,7480228,,,,new south wales,new south wales,Australia,State or Region,100,Fully matched,Yes,New South Wales,Other details found,,,https://legislation.nsw.gov.au/view/whole/pdf/inforce/2024-04-29/act-2023-048,,,New South Wales
Louisiana,USA,Region,Yes,,,,No,,,4649000,,,,louisiana,louisiana,United States of America,State or Region,100,Fully matched,Yes,Louisiana,Other details found,,,https://gov.louisiana.gov/assets/docs/CCI-Task-force/CAP/Climate_Action_Plan_FINAL_3.pdf,,,Louisiana
Nevada,USA,Region,Yes,,,,No,,,3080000,,,,nevada,nevada,United States of America,State or Region,100,Fully matched,Yes,Nevada,Emissions data found,36200000,2017,https://climateaction.nv.gov/wp-content/uploads/2021/01/NVClimateStrategy_011921.pdf,Not specified,MT CO2e,Nevada
Thuringia,DEU,Region,Yes,,,,No,,,2133378,,,,thuringia,thuringia,Germany,State or Region,100,Fully matched,Yes,Thuringia,Emissions data found,13045000,2017,https://landesrecht.thueringen.de/bsth/document/jlr-KlimaSchGTHpP9,Not specified,MT CO2e,Thuringia
Baden-Württemberg,DEU,Region,Yes,,,,No,147946000000,,11111496,,,,baden-württemberg,baden württemberg,Germany,State or Region,100,Fully matched,Yes,Baden Württemberg,Emissions data found,76476144,2018,https://www.landesrecht-bw.de/bsbw/document/jlr-KlimaSchGBW2023rahmen/part/X,Not specified,MT CO2e,Baden-Württemberg
California,USA,Region,Yes,,,,No,3132800000000,,39510000,,,,california,california,United States of America,State or Region,100,Fully matched,Yes,California,Emissions data found,425280804,2018,https://www.ca.gov/archive/gov39/wp-content/uploads/2018/09/9.10.18-Executive-Order.pdf,Not specified,MT CO2e,California
Maine,USA,Region,Yes,,,,No,67717000000,,1344000,,,,maine,maine,United States of America,State or Region,100,Fully matched,Yes,Maine,Emissions data found,15000000,2018,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/Executive%20Order%209-23-2019_0.pdf,Not specified,MT CO2e,Maine
New York State,USA,Region,Yes,,,,No,1772260000000,,19677151,,,,new york,new york,United States of America,State or Region,100,Fully matched,Yes,New York (state),Emissions data found,205610000,2016,https://www.nysenate.gov/legislation/bills/2019/s6599,Not specified,MT CO2e,New York State
Washington State,USA,Region,Yes,,,,No,612996000000,,7740745,,,,washington,washington,United States of America,State or Region,100,Fully matched,Yes,Washington State,Emissions data found,78800000,2018,https://apps.leg.wa.gov/rcw/default.aspx?cite=70A.45.020,Not specified,MT CO2e,Washington State
Queensland,AUS,Region,Yes,,,,No,239005000000,,4703193,,,,queensland,queensland,Australia,State or Region,100,Fully matched,Yes,Queensland,Other details found,,,https://www.qld.gov.au/__data/assets/pdf_file/0026/67283/qld-climate-transition-strategy.pdf,,,Queensland
South Australia,AUS,Region,Yes,,,,No,72288506000,,1677300,,,,south australia,south australia,Australia,State or Region,100,Fully matched,Yes,South Australia,Other details found,,,http://archive.today/kCv4A,,,South Australia
Northern Territory,AUS,Region,Yes,,,,No,17477364600,,245869,,,,northern territory,northern territory,Australia,State or Region,100,Fully matched,Yes,Northern Territory,Other details found,,,https://depws.nt.gov.au/__data/assets/pdf_file/0005/904775/northern-territory-climate-change-response-towards-2050.pdf,,,Northern Territory
British Columbia,CAN,Region,Yes,,,,No,244709000000,,5071336,,,,british columbia,british columbia,Canada,State or Region,100,Fully matched,Yes,British Columbia,Emissions data found,67924286,2018,https://web.archive.org/web/20240803085430/https://www2.gov.bc.ca/gov/content/environment/climate-change,Not specified,MT CO2e,British Columbia
Nova Scotia,CAN,Region,Yes,,,,No,36743000000,,971395,,,,nova scotia,nova scotia,Canada,State or Region,100,Fully matched,Yes,Nova Scotia,Other details found,,,https://nslegislature.ca/legc/bills/63rd_2nd/3rd_read/b213.htm,,,Nova Scotia
Tokyo Metropolitan Government,JPN,Region,Yes,,,,No,,,13491000,,,,tokyo metropolitan government,tokyo metropolitan government,Japan,City,100,Fully matched,Yes,Tokyo (Metropolitan Government),Emissions data found,64850000,2017,https://www.kankyo.metro.tokyo.lg.jp/policy_others/zeroemission_tokyo/strategy_2020update.html,Not specified,MT CO2e,Tokyo Metropolitan Government
Kyoto Prefecture,JPN,Region,Yes,,,,No,,,2578087,,,,kyoto prefecture,kyoto prefecture,Japan,State or Region,100,Fully matched,Yes,Kyoto Prefecture,Emissions data found,12398000,2018,https://www.pref.kyoto.jp/tikyu/suishinkeikaku2021.html,Not specified,MT CO2e,Kyoto Prefecture
Rhineland-Palatinate,DEU,Region,Yes,,,,No,20098879799,,4100000,,,,rhineland-palatinate,rhineland-palatinate,Germany,State or Region,100,Fully matched,Yes,Rhineland-Palatinate,Emissions data found,32050001,2017,https://klimaneutrales.rlp.de/klimaneutrales-rheinland-pfalz/klimaschutz-in-rheinland-pfalz,Not specified,MT CO2e,Rhineland-Palatinate
North Rhine-Westphalia,DEU,Region,Yes,,,,No,228916000000,,17947221,,,,north rhine-westphalia,north rhine westphalia,Germany,State or Region,100,Fully matched,Yes,North Rhine Westphalia,Emissions data found,261158281,2018,https://recht.nrw.de/lmi/owa/br_bes_detail?bes_id=46232&aufgehoben=N&det_id=513326&anw_nr=2&menu=1&sg=0,Not specified,MT CO2e,North Rhine-Westphalia
Western Cape,ZAF,Region,Yes,,,,No,35176411801,,7005740,,,,western cape,western cape,South Africa,State or Region,100,Fully matched,Yes,Western Cape,Other details found,,,https://web.archive.org/web/20240527233517/https://www.westerncape.gov.za/eadp/sites/eadp.westerncape.gov.za/files/atoms/files/WCCCRS%20Implementation%20Plan%20March%202023.pdf,,,Western Cape
Scotland,GBR,Region,Yes,,,,No,216550000000,,5463300,,,,scotland,scotland,United Kingdom,State or Region,100,Fully matched,Yes,Scotland,Emissions data found,54668826,2018,https://www.legislation.gov.uk/asp/2019/15/contents/enacted,Not specified,MT CO2e,Scotland
Wales,GBR,Region,Yes,,,,No,99176183168,,3152879,,,,wales,wales,United Kingdom,State or Region,100,Fully matched,Yes,Wales,Emissions data found,39335276.54,2018,https://gov.wales/sites/default/files/publications/2021-10/net-zero-wales-summary-document.pdf,Not specified,MT CO2e,Wales
Catalonia,ESP,Region,Yes,,,,,274387000000,,7675217,,,,catalonia,catalonia,Spain,State or Region,100,Fully matched,Yes,Catalonia,Emissions data found,43955786,2018,https://canviclimatic.gencat.cat/ca/ambits/Llei_canvi_climatic/,Not specified,MT CO2e,Catalonia
