Company,LEI,Jurisdiction,Latest Reported Year,SICS sector,Source
AAK AB (PUBL),549300GK4LGIDDWJWL07,Sweden,2021,SICS classification information not available for download,CDP Climate Change 2022
ABB Ltd,5493000LKVGOO9PELI61,Switzerland,2021,SICS classification information not available for download,CDP Climate Change 2022
ABBVIE INC.,FR5LCKFTG8054YNNRU85,United States of America,2021,SICS classification information not available for download,CDP Climate Change 2022
ACCENTURE PUBLIC LIMITED COMPANY,5493000EWHDSR3MZWH98,Ireland,2021,SICS classification information not available for download,CDP Climate Change 2022
ACCOR,969500QZC2Q0TK11NV07,France,2021,SICS classification information not available for download,CDP Climate Change 2022
adidas AG,549300JSX0Z4CW0V5023,Germany,2021,SICS classification information not available for download,CDP Climate Change 2022
ADOBE INC.,FU4LY2G4933NH2E1CP29,United States of America,2021,SICS classification information not available for download,CDP Climate Change 2022
AECOM,0EEB8GF0W0NPCIHZX097,United States of America,2021,SICS classification information not available for download,CDP Climate Change 2022
AENA S.M.E. SA,959800R7QMXKF0NFMT29,Spain,2021,SICS classification information not available for download,CDP Climate Change 2022
AFRY AB,549300Q87LKPPD4X9R30,Sweden,2021,SICS classification information not available for download,CDP Climate Change 2022
"AGILENT TECHNOLOGIES, INC.",QUIX8Y7A2WP0XRMW7G29,United States of America,2021,SICS classification information not available for download,CDP Climate Change 2022
"Ajinomoto Co., Inc.",353800UT0TLROREPIC92,Japan,2022,SICS classification information not available for download,CDP Climate Change 2022
"AKAMAI TECHNOLOGIES, INC.",OC1LZNN2LF5WTJ5RIL89,United States of America,2021,SICS classification information not available for download,CDP Climate Change 2022
Aktiebolaget Electrolux,549300Y3HHZB1ZGFPJ93,Sweden,2021,SICS classification information not available for download,CDP Climate Change 2022
Aktiebolaget SKF,549300B6HWYEE57O8J84,Sweden,2021,SICS classification information not available for download,CDP Climate Change 2022
Alfa Laval AB,549300UCKT2UK88AG251,Sweden,2021,SICS classification information not available for download,CDP Climate Change 2022
ALPHABET INC.,5493006MHB84DD0ZWV18,United States of America,2021,SICS classification information not available for download,CDP Climate Change 2022
AMBEV S.A.,549300TH5Q6VRP8OT012,Brazil,2021,SICS classification information not available for download,CDP Climate Change 2022
AMBUJA CEMENTS LIMITED,335800NT6LQHR1428E20,India,2021,SICS classification information not available for download,CDP Climate Change 2022
"AMERICAN AIRLINES, INC.",IWUQB36BXD6OWD6X4T14,United States of America,2021,SICS classification information not available for download,CDP Climate Change 2022
