company_name,report_url,year
Accenture,https://www.accenture.com/content/dam/accenture/final/corporate/company-information/document/Accenture-CDP-2024.pdf,2024
Adobe Inc.,https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/Adobe-CSR-Report-2023.pdf,2024
Advanced Micro Devices,https://www.amd.com/content/dam/amd/en/documents/corporate/cr/corporate-responsibility-report.pdf,2024
Akamai Technologies,https://www.akamai.com/site/en/documents/akamai/2024/akamai-2023-esg-impact-report.pdf,2024
Amphenol,https://www.amphenol.com/docs/sustainability-report,2024
Analog Devices,https://www.analog.com/media/en/company-csr/2023-esg-report.pdf#page=1,2024
Ansys,https://www.ansys.com/content/dam/company/investor-relations/ansys-2023-corporate-responsibility-report.pdf,2024
Apple Inc.,https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2024.pdf,2024
Applied Materials,https://www.appliedmaterials.com/content/dam/site/company/csr/doc/2023_Sustainability_F.pdf.coredownload.inline.pdf,2024
Arista Networks,https://www.arista.com/assets/data/pdf/Arista_CRR_2022.pdf,2023
Autodesk,https://damassets.autodesk.net/content/dam/autodesk/www/pdfs/autodesk-fy24-impact-report.pdf,2024
Broadcom,https://docs.broadcom.com/doc/environment-social-governance-report,2024
Cadence Design Systems,https://www.cadence.com/content/dam/cadence-www/global/en_US/documents/company/csr/cadence-2023-environmental-social-and-governance-report.pdf,2024
CDW,https://webobjects2.cdw.com/is/content/CDW/cdw/on-domain-cdw/cdw-branded/esg/cdw-2023-esg-report-final.pdf,2024
Cisco,https://www.cisco.com/c/dam/m/en_us/about/csr/esg-hub/_pdf/purpose-report-2023.pdf,2024
Cognizant,https://www.cognizant.com/en_us/about/documents/cognizant-2023-sustainability-report.pdf,2024
Corning Inc.,https://www.corning.com/microsites/corp-comm/corning-reports/2023-reports/downloads/corning-2023-sustainability-report.pdf,2024
CrowdStrike,https://www.crowdstrike.com/wp-content/uploads/2024/01/crowdstrike-esg-initiatives.pdf,2024
Dell Technologies,https://www.dell.com/en-in/dt/corporate/social-impact/esg-resources/reports/fy24-esg-report.htm?hve=read+report#pdf-overlay=//www.delltechnologies.com/asset/en-in/solutions/business-solutions/briefs-summaries/delltechnologies-fy24-esg-report.pdf,2024
Enphase Energy,https://enphase.com/download/esg-report-2023,2024
"F5, Inc.",https://investors.f5.com/media/document/c625da73-708a-4f4b-b858-fb82323691a6/assets/FY23%20F5%20ESG%20Report_Final_04012024.pdf,2024
Fair Isaac,https://s201.q4cdn.com/409218819/files/doc_presentations/2024/Apr/12/fisi-sustainability-and-corporate-responsibility-report.pdf,2024
First Solar,https://www.firstsolar.com/-/media/First-Solar/Sustainability-Documents/FirstSolar_Sustainability-Report_2024.ashx,2024
Fortinet,https://www.fortinet.com/content/dam/fortinet/assets/reports/fortinet-2023-sustainability-report.pdf,2024
Gen Digital,https://s201.q4cdn.com/771113172/files/doc_downloads/ESG/2024/Gen_Social_Impact_Report_2024.pdf,2024
